ids,pricing_period,monthly_revenue,hrs_worked_per_week,platfrom,domain_type,year_created,page_views,unique_users,ids,niche,monetization,price,net,multiple
47823,9,30162,602," WordPress"," .com",2018,498630,374623,47823,"SaaS, Affiliate, Application","Amazon Associates, Display Advertising",1897387,52705,36
47834,12,31601,495," Other"," .au",2000,209758,55096,47834,"News & Education",eCommerce,1997930,49948,50
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,47835,"Amazon Associates, Display Advertising","Amazon FBA",1084957,30138,26
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,47864,eCommerce,"Amazon FBA, eCommerce",1087845,32965,31
47887,10,652,30," WordPress"," .net, .com",2015,68263,48590,47887,"News & Education, Business","Display Advertising, Other, Amazon Associates",303675,11247,30
47891,12,99256,302," WordPress"," .com",2014,318538,137472,47891,"Occasions & Gifts","Lead Gen, Affiliate",1496745,45356,40
47897,9,192383,302," Shopify"," .com",2018,106794,11363,47897,"Amazon FBA","SaaS, Affiliate, Application",2411665,66991,36
47909,12,2833,302," WordPress"," .com, .net",2013,324618,196144,47909,"Occasions & Gifts","Other, Display Advertising",564786,20171,33
47915,12,272028,126," Shopify, Amazon FBA"," .com",2010,1693420,503794,47915,"Health & Fitness","eCommerce, Amazon FBA, Other",2000931,62529,24
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,47947,"Pet Care","Amazon FBA",908622,22716,29
47961,4,2231,430," Other"," .com",2018,5018,1466,47961,Gaming,"Info Product",364995,7935,32
47964,12,47596,302," Amazon FBA, Other"," .com",2017,36455,26442,47964,Gaming,"Amazon FBA",983519,25882,27
47972,12,6016,90," WordPress"," .biz, .com",2017,62159,53995,47972,"Display Advertising","Amazon Associates",893835,24829,36
48005,8,1080,30," WordPress"," .com",2019,173360,12327,48005,Application,"Display Advertising",364995,7935,31
48006,12,5639,30," Shopify"," .com",2019,42336,9372,48006,"Amazon FBA, eCommerce, Display Advertising","Digital Product",574056,20502,31
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48014,"Survival & Security","Amazon FBA, Amazon KDP, eCommerce",48014,48014,48014
48016,7,2147,30," WordPress"," .com",2018,27147,19536,48016,"Health & Fitness","Amazon Associates, Affiliate",454026,15656,35
48035,12,246297,230," Shopify"," .com",2016,219553,67025,48035,Entertainment,DropShipping,1135573,22711,32
48047,10,2338,302," WordPress"," .com",2016,39408,28287,48047,"Amazon FBA, eCommerce","Amazon Associates",485738,15669,35
48080,12,110137,30," Shopify"," .au, .com",2017,203159,36493,48080,SaaS,DropShipping,1150026,17969,29
48090,6,2236,302," WordPress"," .com",2018,30963,16666,48090,Electronics,"Amazon Associates, Display Advertising",446923,17189,28
48093,8,6359,302," WordPress"," .com",2019,26589,20658,48093,DropShipping,Affiliate,817422,28187,25
48094,7,2610,30," WordPress"," .com",2018,23991,16457,48094,"Amazon FBA","Amazon Associates, Display Advertising",564786,20171,34
48108,9,1824,30," WordPress"," .com",2018,15403,11163,48108,"Amazon FBA","Amazon Associates",446923,17189,33
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48140,"Amazon Associates, Affiliate","Amazon FBA",1122584,25513,28
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48146,"Amazon FBA","Amazon FBA, Amazon Merch, eCommerce",615167,18093,32
48155,6,918,30," WordPress"," .com",2016,13589,9809,48155,Jewelry,"Amazon Associates",339485,12574,34
48163,4,1000,30," Other"," .com",2018,244,99,48163,Home,"Lead Gen",43233,1351,26
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48167,"Art, Hobbies","Affiliate, Amazon Associates",431631,13488,33
48170,5,1148,302," WordPress"," .com",2018,12675,10296,48170,"Amazon Associates, Affiliate, Display Advertising","Amazon Associates, Affiliate",144548,4015,31
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48171,Home,"Amazon FBA",109156,3308,29
48231,9,4297,304," WordPress"," .com",2018,36644,25205,48231,Electronics,"Amazon Associates, Affiliate, Display Advertising",144548,4015,36
48242,7,1005,30," WordPress"," .com",2018,11394,8678,48242,"Affiliate, Amazon Associates","Amazon Associates",109156,3308,27
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48271,"Occasions & Gifts","Amazon FBA",615167,18093,34
48272,12,1402,30," WordPress"," .reviews, .com",2015,37266,25096,48272,"Occasions & Gifts","Amazon Associates, Affiliate",48272,48272,48272
48284,10,13296,430," Other"," .com",2018,30371,7209,48284,"Amazon FBA",DropShipping,48284,48284,48284
48298,4,4302,302," WordPress"," .org",2019,55584,44621,48298,"Health & Fitness","Affiliate, Amazon Associates, Display Advertising",48298,48298,48298
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48322,eCommerce,"Amazon FBA",48322,48322,48322
48332,12,3062,30," WordPress"," .com",2016,110435,75976,48332,"Amazon FBA, Amazon KDP, eCommerce","Affiliate, Amazon Associates, Digital Product, Display Advertising",48332,48332,48332
48364,9,153727,151," Shopify, Amazon FBA"," .com",2019,1693420,503794,48364,"Apparel & Accessories",eCommerce,48364,48364,48364
